Type,Value,Test_Accuracy,Val_Accuracy
Dropout,0.0,0.8409000039100647,0.8565999865531921
Dropout,0.2,0.8258000016212463,0.8357999920845032
Dropout,0.3,0.7882000207901001,0.8001999855041504
L2,0.0,0.8156999945640564,0.8252000212669373
L2,0.0001,0.8317000269889832,0.8384000062942505
L2,0.001,0.8334000110626221,0.8447999954223633
