Optimizer,Test_Accuracy,Best_Val_Accuracy,Convergence_Epoch
sgd,0.7444999814033508,0.7802000045776367,16
adam,0.7623999714851379,0.7856000065803528,16
adamw,0.798799991607666,0.8080000281333923,20
