Architecture,Parameters,Test_Accuracy,Training_Time,Inference_Time,Best_Val_Acc,Epochs
baseline,592362,0.7049999833106995,1307.6460485458374,0.0194751501083374,0.7161999940872192,60
vgg_style,2007498,0.8715000152587891,1801.347220659256,0.042506000995635985,0.8754000067710876,80
resnet,11313354,0.8499000072479248,1914.5544185638428,0.05175635814666748,0.8555999994277954,80
attention,1308362,0.8237000107765198,1799.2476797103882,0.058901116847991944,0.8349999785423279,80
densenet,1322826,0.8418999910354614,2458.7930245399475,0.109485445022583,0.8478000164031982,80
inception,1945162,0.8497999906539917,1678.8947665691376,0.05709150552749634,0.852400004863739,70
wide_resnet,10968570,0.9071000218391418,3254.239897251129,0.03672983407974243,0.9118000268936157,80
